	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
DNA repair protein RAD50-likeFUNC_PR10685	0	0	0	0	0	4	0	0	0	0	0	0
DNA repair protein Rad50, partialFUNC_PR10686	0	0	0	0	0	0	0	0	0	1	0	0
DNA repair protein RAD51FUNC_PR10687	0	0	0	1	0	0	0	0	0	0	0	0
DNA repair protein RAD51 homolog 2-like isoform X2FUNC_PR10688	1	0	0	0	0	0	0	0	0	0	0	0
DNA repair protein RAD7FUNC_PR10689	0	0	2	0	3	2	0	0	0	0	0	0
DNA repair protein RadAFUNC_PR10690	35	34	3	1	29	132	1	0	0	43	3	26
DNA repair protein RadA, partialFUNC_PR10691	7	6	1	0	8	40	0	0	0	8	0	3
DNA repair protein RadCFUNC_PR10692	5	7	0	1	0	6	0	0	0	0	0	1
DNA repair protein recA homolog 3, mitochondrial isoform X1FUNC_PR10693	0	0	0	0	0	0	1	0	0	0	0	0
DNA repair protein RecNFUNC_PR10694	62	34	2	4	23	120	1	2	1	45	1	33
DNA repair protein RecN, partialFUNC_PR10695	1	0	0	2	2	16	0	0	0	2	0	0
DNA repair protein RecOFUNC_PR10696	10	5	1	0	2	24	1	0	0	4	1	16
DNA repair protein RecO, partialFUNC_PR10697	1	33	0	0	8	36	0	0	0	3	0	2
DNA repair protein REV1FUNC_PR10698	5	0	0	0	1	6	0	0	0	1	0	0
DNA repair protein REV1 isoform X1FUNC_PR10699	0	1	0	0	0	0	0	0	0	0	0	0
DNA repair protein rhp54FUNC_PR10700	0	0	0	0	0	0	0	0	0	1	0	0
DNA repair protein SMC6FUNC_PR10701	0	0	0	2	8	2	2	0	4	10	5	0
DNA repair protein UVH3-like isoform X2FUNC_PR10702	1	0	0	0	2	0	0	0	0	0	0	0
DNA repair protein XRCC3 homolog isoform X1FUNC_PR10703	0	0	0	0	0	0	0	0	0	1	0	0
dna repair protein-like protein rad18FUNC_PR10704	0	0	0	0	0	1	0	0	0	0	0	0
DNA repair protein, partialFUNC_PR10705	0	0	0	0	1	9	0	0	0	3	0	0
DNA repair RAD52-like protein 2, chloroplasticFUNC_PR10706	1	0	0	0	0	0	0	0	0	0	0	0
DNA repair/transcription protein MET18/MMS19FUNC_PR10707	4	0	0	1	0	0	0	0	1	0	0	0
DNA replication and checkpoint proteinFUNC_PR10708	0	2	0	0	0	1	0	0	0	0	0	0
DNA replication and repair protein RecFFUNC_PR10709	34	40	1	3	21	71	0	2	1	23	2	12
DNA replication and repair protein RecF, partialFUNC_PR10710	0	0	0	0	0	1	0	0	0	1	0	0
DNA replication ATP-dependent helicase DNA2FUNC_PR10711	0	3	0	0	1	6	0	0	0	1	0	0
DNA replication ATP-dependent helicase/nuclease JHS1 isoform X4FUNC_PR10712	0	1	0	0	0	0	0	0	0	0	0	0
DNA replication complex GINS protein PSF2FUNC_PR10713	0	0	0	0	0	0	0	0	0	1	0	0
DNA replication complex GINS protein PSF3FUNC_PR10714	0	0	0	0	0	0	0	0	0	0	0	1
DNA replication helicase Dna2, putativeFUNC_PR10715	0	0	0	0	0	1	0	0	0	0	0	0
DNA replication initiation control protein YabAFUNC_PR10716	0	0	0	0	0	4	0	0	0	0	0	0
DNA replication initiation factor CDC45FUNC_PR10717	0	0	0	1	6	0	0	1	0	8	3	0
DNA replication initiation protein gpA, partialFUNC_PR10718	1	0	0	0	0	0	0	0	0	0	0	0
DNA replication licensing factor MCM2FUNC_PR10719	1	0	0	0	0	0	0	0	0	1	1	1
DNA replication licensing factor mcm3FUNC_PR10720	0	0	0	0	0	0	0	0	1	0	0	0
DNA replication licensing factor MCM3FUNC_PR10721	0	0	0	0	2	0	0	0	0	0	0	0
DNA replication licensing factor MCM4FUNC_PR10722	0	0	0	1	0	0	0	0	0	0	0	0
DNA replication licensing factor mcm4-likeFUNC_PR10723	0	0	0	0	0	0	1	0	0	0	0	0
DNA replication licensing factor mcm5FUNC_PR10724	0	0	0	0	0	0	0	0	0	0	0	2
DNA replication licensing factor MCM5FUNC_PR10725	4	0	0	0	2	1	0	0	0	0	0	0
DNA replication licensing factor mcm6FUNC_PR10726	0	0	0	0	1	9	0	0	0	0	0	0
DNA replication licensing factor MCM6FUNC_PR10727	0	1	0	0	1	0	0	0	0	0	0	0
dna replication licensing factor mcm7FUNC_PR10728	0	1	0	0	0	0	0	0	0	0	0	0
DNA replication licensing factor MCM7FUNC_PR10729	4	0	0	0	1	0	0	0	0	0	0	0
DNA replication licensing factor mcm7-likeFUNC_PR10730	0	0	0	0	0	0	0	0	0	0	0	3
DNA replication licensing factor MCM9FUNC_PR10731	0	0	0	0	0	0	0	0	0	1	0	0
DNA replication proteinFUNC_PR10732	5	11	0	0	2	4	0	0	0	3	0	2
DNA replication protein DnaCFUNC_PR10733	0	0	1	0	0	0	0	0	0	9	0	0
DNA replication protein DnaDFUNC_PR10734	1	0	0	0	0	2	0	0	0	0	0	0
DNA replication protein Orc7FUNC_PR10735	0	3	0	0	0	1	0	0	0	0	0	0
DNA replication protein PSF1FUNC_PR10736	0	0	0	1	1	1	0	0	0	1	2	0
DNA replication protein PSF2FUNC_PR10737	0	0	0	1	6	1	0	0	1	1	2	0
DNA replication protein SLD5FUNC_PR10738	0	0	0	0	10	0	0	0	0	2	1	0
DNA replication protein YHM2FUNC_PR10739	0	0	0	0	0	1	0	0	0	0	1	0
DNA replication protein, partialFUNC_PR10740	0	1	0	0	0	0	0	0	0	0	0	0
DNA replication terminus site-binding protein, partialFUNC_PR10741	0	0	0	0	0	0	0	0	0	0	1	0
DNA replication/repair protein RecFFUNC_PR10742	1	4	0	0	0	0	0	0	0	2	0	0
DNA resolvaseFUNC_PR10743	2	3	0	0	0	0	0	0	0	0	0	0
DNA restriction-modification system proteinFUNC_PR10744	0	0	0	0	0	38	0	0	0	0	0	0
DNA restriction-modification system, restriction enzymeFUNC_PR10745	0	0	0	0	1	3	0	0	0	2	0	1
dna rna polymerases superfamily proteinFUNC_PR10746	0	0	0	0	1	2	0	0	0	0	0	0
DNA starvation/stationary phase protection proteinFUNC_PR10747	20	4	0	2	1	38	1	1	3	12	1	1
DNA sulfur modification protein DndDFUNC_PR10748	0	0	0	0	0	1	0	0	0	0	0	0
DNA topoisomeraseFUNC_PR10749	0	12	0	1	5	33	0	0	0	3	0	0
DNA topoisomerase (ATP-hydrolyzing)FUNC_PR10750	0	0	0	0	5	0	0	0	0	3	3	0
DNA topoisomerase (ATP-hydrolyzing) subunit AFUNC_PR10751	7	3	0	0	2	4	0	0	0	0	0	0
DNA topoisomerase (ATP-hydrolyzing) subunit A, partialFUNC_PR10752	0	0	0	0	0	0	0	0	0	0	0	3
DNA topoisomerase (ATP-hydrolyzing) subunit BFUNC_PR10753	8	11	1	0	5	32	1	0	0	2	1	21
DNA topoisomerase 1FUNC_PR10754	2	0	0	9	14	0	3	13	19	22	33	0
DNA topoisomerase 1-likeFUNC_PR10755	0	0	0	0	1	0	0	0	0	1	0	0
DNA topoisomerase 2FUNC_PR10756	2	1	0	7	32	4	1	14	14	24	28	0
DNA topoisomerase 2 isoform X2FUNC_PR10757	1	0	0	0	0	0	0	0	0	0	0	0
DNA topoisomerase 2-associated protein PAT1FUNC_PR10758	0	3	0	0	0	9	0	0	0	0	0	0
DNA topoisomerase 2-associated protein pat1-likeFUNC_PR10759	1	0	0	0	0	0	1	0	0	0	0	0
DNA topoisomerase 2-likeFUNC_PR10760	1	0	0	0	0	0	0	0	0	0	0	0
DNA topoisomerase 3FUNC_PR10761	2	2	0	11	26	1	3	1	7	20	18	0
DNA topoisomerase 3-beta-1-likeFUNC_PR10762	0	0	0	0	1	0	0	0	0	0	0	0
DNA topoisomerase 6 subunit AFUNC_PR10763	2	0	0	0	0	0	0	0	0	0	0	0
DNA topoisomerase IFUNC_PR10764	62	75	2	4	26	240	5	3	2	89	3	12
DNA topoisomerase I subunit omegaFUNC_PR10765	2	0	0	0	0	0	0	0	0	0	0	0
DNA topoisomerase I, partialFUNC_PR10766	11	15	2	1	21	68	2	1	0	15	1	6
DNA topoisomerase IIFUNC_PR10767	0	0	0	0	1	4	0	0	0	0	1	1
DNA topoisomerase IIIFUNC_PR10768	18	18	0	1	6	122	0	0	0	16	1	12
DNA topoisomerase III, partialFUNC_PR10769	7	6	0	0	1	0	0	0	0	2	0	12
DNA topoisomerase IVFUNC_PR10770	7	22	0	0	9	1	0	0	0	6	1	0
DNA topoisomerase IV subunit AFUNC_PR10771	17	49	5	1	26	171	3	5	0	31	6	41
DNA topoisomerase IV subunit A, partialFUNC_PR10772	14	20	1	2	17	27	0	0	0	25	1	2
DNA topoisomerase IV subunit BFUNC_PR10773	40	58	3	2	20	139	1	3	0	19	4	23
DNA topoisomerase IV subunit B, partialFUNC_PR10774	0	1	0	1	0	1	0	0	0	3	0	0
DNA topoisomerase IV, partialFUNC_PR10775	0	0	0	0	1	0	0	0	0	0	0	0
DNA topoisomerase TopAFUNC_PR10776	0	0	0	0	0	1	0	0	0	0	0	0
DNA topoisomerase type IIA subunit BFUNC_PR10777	0	0	0	0	0	13	0	0	0	0	0	0
DNA topoisomerase VI subunit BFUNC_PR10778	0	0	0	1	2	0	0	0	0	1	0	14
DNA topoisomerase VI subunit B, partialFUNC_PR10779	0	6	0	0	0	0	0	0	0	0	0	0
DNA topoisomerase, partialFUNC_PR10780	3	1	0	0	0	0	0	0	0	1	0	0
DNA transfer protein p32FUNC_PR10781	0	0	0	0	1	0	0	0	0	0	0	0
DNA translocaseFUNC_PR10782	0	2	0	2	7	0	2	6	4	9	3	0
DNA translocase FtsKFUNC_PR10783	55	41	5	8	35	192	2	1	2	50	5	28
DNA translocase FtsK, partialFUNC_PR10784	0	3	0	0	1	15	0	0	0	2	0	1
DNA transposition proteinFUNC_PR10785	0	0	0	0	1	0	0	0	0	0	0	0
DNA utilization protein GntX, partialFUNC_PR10786	0	0	0	0	0	0	0	0	0	0	1	0
DNA-(apurinic or apyrimidinic site) lyaseFUNC_PR10787	0	4	0	0	1	1	1	0	0	2	0	0
DNA-(apurinic or apyrimidinic site) lyase APN1FUNC_PR10788	0	0	0	4	2	0	0	1	1	3	7	0
DNA-(apurinic or apyrimidinic site) lyase APN2FUNC_PR10789	0	2	0	6	5	1	0	5	4	31	2	0
DNA-3-methyladenine glycosylaseFUNC_PR10790	11	6	0	0	0	10	0	1	0	4	0	0
DNA-3-methyladenine glycosylase 1-likeFUNC_PR10791	1	0	0	0	0	0	0	0	0	0	0	0
DNA-3-methyladenine glycosylase 2 family proteinFUNC_PR10792	6	0	1	0	0	15	0	0	0	1	0	7
DNA-3-methyladenine glycosylase IFUNC_PR10793	10	18	0	0	3	17	0	0	1	6	0	5
DNA-3-methyladenine glycosylase I, partialFUNC_PR10794	0	0	0	0	0	0	0	0	0	0	1	0
DNA-3-methyladenine glycosylase IIFUNC_PR10795	4	0	0	4	16	4	0	0	7	9	6	0
DNA-binding ATPaseFUNC_PR10796	21	5	0	16	25	0	5	21	11	59	13	0
DNA-binding domain containing proteinFUNC_PR10797	0	9	0	8	35	11	1	2	3	13	17	2
DNA-binding domain of Mlu1-box binding protein MBP1, partialFUNC_PR10798	0	0	0	0	0	0	0	0	0	1	0	0
DNA-binding E3 ubiquitin-protein ligase SNT2FUNC_PR10799	1	1	0	11	19	8	1	3	10	46	16	0
DNA-binding proteinFUNC_PR10800	94	101	4	3	62	418	6	7	1	78	6	51
DNA-binding protein (Roi)FUNC_PR10801	2	0	0	0	0	0	0	0	0	0	0	0
DNA-binding protein ABF1FUNC_PR10802	0	2	0	3	11	0	0	3	1	29	4	0
DNA-binding protein ABF2FUNC_PR10803	2	3	0	17	7	3	5	6	2	28	6	0
DNA-binding protein creAFUNC_PR10804	1	0	0	0	0	0	0	0	0	0	0	0
DNA-binding protein HEXBP-likeFUNC_PR10805	3	1	0	1	0	0	0	0	0	0	0	0
DNA-binding protein HGH1FUNC_PR10806	0	0	0	0	1	0	0	0	0	0	0	0
DNA-binding protein HUFUNC_PR10807	1	6	0	0	0	0	1	0	0	2	0	0
DNA-binding protein kinase TEL1FUNC_PR10808	5	0	0	7	6	1	1	3	11	21	6	0
DNA-binding protein REB1FUNC_PR10809	0	0	0	2	11	0	2	2	1	5	10	0
DNA-binding protein RIF1FUNC_PR10810	6	5	0	5	12	2	3	2	6	21	9	1
DNA-binding protein S1FA-likeFUNC_PR10811	4	2	0	0	1	0	0	0	0	0	0	0
DNA-binding protein S1FA2FUNC_PR10812	0	1	0	0	0	0	0	0	0	0	0	0
DNA-binding protein SAW1FUNC_PR10813	0	1	0	0	4	0	0	1	2	3	5	0
DNA-binding protein SMUBP-2FUNC_PR10814	1	0	0	0	0	0	0	0	0	1	0	0
DNA-binding protein SMUBP-2, partialFUNC_PR10815	0	0	0	0	0	0	0	0	1	0	0	0
DNA-binding protein SRL3FUNC_PR10816	0	0	0	4	10	0	1	4	2	23	15	0
DNA-binding protein WhiAFUNC_PR10817	5	0	0	0	2	4	0	0	0	10	0	0
DNA-binding protein WhiA, partialFUNC_PR10818	1	6	0	0	2	16	0	0	0	7	0	1
DNA-binding protein YbiBFUNC_PR10819	0	0	0	0	1	9	0	0	0	0	0	2
DNA-binding protein, excisionase familyFUNC_PR10820	0	0	0	0	0	1	0	0	0	0	0	0
DNA-binding protein, partialFUNC_PR10821	8	0	2	0	7	31	0	1	0	2	0	5
DNA-binding response regulatorFUNC_PR10822	320	295	8	14	133	878	5	25	14	245	14	134
DNA-binding response regulator PmrAFUNC_PR10823	2	2	0	0	0	0	0	0	0	0	0	0
DNA-binding response regulator, partialFUNC_PR10824	8	6	0	1	8	38	1	1	1	16	0	1
DNA-binding SCF ubiquitin ligase subunit DIA2FUNC_PR10825	0	2	0	2	1	0	0	0	0	2	0	0
DNA-binding TFAR19-related protein, partialFUNC_PR10826	0	0	0	0	0	0	0	1	0	0	0	0
DNA-binding transcription factor ACE2FUNC_PR10827	1	0	0	11	40	4	0	5	5	24	28	0
DNA-binding transcription factor ADR1FUNC_PR10828	15	5	0	14	157	8	7	4	14	67	101	2
DNA-binding transcription factor AFT1FUNC_PR10829	0	0	0	3	16	1	5	5	1	14	14	0
DNA-binding transcription factor CAT8FUNC_PR10830	7	33	0	8	116	53	7	13	14	54	51	9
DNA-binding transcription factor CRZ1FUNC_PR10831	1	0	0	5	10	0	1	4	1	15	4	0
DNA-binding transcription factor RAP1FUNC_PR10832	5	1	0	11	45	1	6	12	15	33	21	0
DNA-binding transcription factor SWI5FUNC_PR10833	0	0	0	0	3	0	2	1	0	2	0	0
DNA-binding transcription factor YAP1FUNC_PR10834	2	1	0	18	48	7	6	15	25	58	39	0
DNA-binding transcription repressor ASH1FUNC_PR10835	2	12	0	17	16	2	3	12	8	139	21	0
DNA-binding transcription repressor IXR1FUNC_PR10836	0	58	0	33	71	290	13	34	20	46	100	40
DNA-binding transcriptional regulatorFUNC_PR10837	0	5	0	0	0	2	0	0	0	1	0	8
DNA-binding transcriptional regulator FabRFUNC_PR10838	0	0	0	0	0	1	0	0	0	1	0	0
DNA-binding transcriptional regulator FruRFUNC_PR10839	0	0	0	0	1	0	1	0	0	1	1	0
DNA-binding transcriptional regulator OxyRFUNC_PR10840	6	12	0	0	21	30	0	0	0	12	1	2
DNA-binding transcriptional regulator TyrR, partialFUNC_PR10841	5	0	0	0	0	0	0	0	0	0	0	0
DNA-binding transcriptional regulator UME6FUNC_PR10842	1	1	0	7	24	1	4	9	4	16	9	0
DNA-binding transcriptional repressor AcrRFUNC_PR10843	0	0	0	0	0	0	0	0	0	0	0	1
DNA-binding transcriptional repressor DeoR, partialFUNC_PR10844	0	0	0	0	0	2	0	0	0	0	0	0
DNA-binding transcriptional repressor LacI, partialFUNC_PR10845	0	12	0	0	0	0	0	0	0	0	0	0
DNA-damage-repair/toleration protein DRT111, chloroplasticFUNC_PR10846	0	0	0	0	0	0	0	0	0	1	0	0
DNA-deoxyinosine glycosylaseFUNC_PR10847	3	16	0	0	1	9	0	0	0	3	0	0
DNA-dependent ATPase FUN30FUNC_PR10848	0	0	0	10	12	1	6	13	9	26	15	0
DNA-dependent ATPase RAD26FUNC_PR10849	0	0	0	10	13	0	1	1	13	41	3	0
DNA-dependent ATPase RAD54FUNC_PR10850	1	1	0	11	53	12	1	15	28	43	51	0
DNA-dependent ATPase RDH54FUNC_PR10851	0	0	0	3	52	3	1	6	3	26	22	0
DNA-dependent helicaseFUNC_PR10852	1	0	0	0	3	8	0	0	0	0	0	7
DNA-dependent metalloprotease WSS1FUNC_PR10853	0	0	0	0	3	0	0	0	0	0	0	0
DNA-directed DNA polymeraseFUNC_PR10854	4	10	0	14	30	8	4	13	10	38	14	4
DNA-directed DNA polymerase alpha catalytic subunit POL1FUNC_PR10855	7	0	0	7	17	0	2	5	6	15	4	1
DNA-directed DNA polymerase alpha subunit POL12FUNC_PR10856	5	0	0	2	13	4	1	1	0	3	7	0
DNA-directed DNA polymerase B (intein-containing)FUNC_PR10857	0	0	0	0	0	5	0	0	0	0	1	0
DNA-directed DNA polymerase delta POL3FUNC_PR10858	0	0	0	2	14	0	0	0	3	9	3	0
DNA-directed DNA polymerase delta subunit POL31FUNC_PR10859	1	0	0	2	10	0	0	3	2	13	6	0
DNA-directed DNA polymerase etaFUNC_PR10860	0	1	0	6	9	0	1	9	8	29	5	0
DNA-directed DNA polymerase gamma MIP1FUNC_PR10861	0	7	0	26	79	17	5	16	13	105	39	0
DNA-directed DNA polymerase II large subunitFUNC_PR10862	5	5	0	0	0	0	0	0	0	0	0	1
DNA-directed DNA polymerase II small subunitFUNC_PR10863	0	10	0	0	0	7	0	0	0	0	0	1
DNA-directed DNA polymerase IVFUNC_PR10864	0	0	0	6	8	1	1	2	0	21	2	0
DNA-directed DNA polymerase, partialFUNC_PR10865	0	0	0	0	3	0	0	0	0	0	0	0
DNA-directed RNA polymeraseFUNC_PR10866	13	1	2	30	155	21	6	20	23	124	60	0
DNA-directed RNA polymerase 1 subunit betaFUNC_PR10867	1	1	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase 2, chloroplastic/mitochondrial-like isoform X1FUNC_PR10868	1	0	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase core subunit RPB5FUNC_PR10869	4	1	0	2	0	0	0	2	0	5	0	0
DNA-directed RNA polymerase core subunit RPB8FUNC_PR10870	0	2	0	1	0	0	4	1	3	7	1	0
DNA-directed RNA polymerase core subunit RPC19FUNC_PR10871	0	1	0	3	6	0	3	2	3	2	2	0
DNA-directed RNA polymerase core subunit RPC40FUNC_PR10872	11	0	0	9	17	0	2	6	4	25	7	0
DNA-directed RNA polymerase IFUNC_PR10873	0	0	0	0	1	0	0	0	0	0	0	0
DNA-directed RNA polymerase I core subunit RPA12FUNC_PR10874	1	0	0	0	1	0	1	2	1	0	0	0
DNA-directed RNA polymerase I core subunit RPA135FUNC_PR10875	26	7	0	9	15	1	2	18	8	24	3	0
DNA-directed RNA polymerase I core subunit RPA190FUNC_PR10876	27	5	0	9	21	0	7	19	10	28	10	0
DNA-directed RNA polymerase I subunitFUNC_PR10877	0	0	0	0	0	2	0	0	0	0	0	0
DNA-directed RNA polymerase I subunit 1FUNC_PR10878	0	0	0	0	0	0	0	0	0	1	0	0
DNA-directed RNA polymerase I subunit 2-like isoform X2FUNC_PR10879	0	1	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase I subunit rpa1FUNC_PR10880	1	1	0	0	0	0	0	0	0	0	1	0
DNA-directed RNA polymerase I subunit RPA1FUNC_PR10881	1	9	0	0	1	5	0	0	0	3	0	0
DNA-directed RNA polymerase I subunit RPA14FUNC_PR10882	11	3	0	17	36	6	7	45	14	87	68	0
DNA-directed RNA polymerase I subunit RPA2FUNC_PR10883	0	0	0	0	0	2	0	0	0	3	0	0
DNA-directed RNA polymerase I subunit RPA34FUNC_PR10884	2	0	0	1	4	0	7	3	0	4	1	0
DNA-directed RNA polymerase I subunit RPA43FUNC_PR10885	5	0	0	3	2	6	3	2	1	6	0	0
DNA-directed RNA polymerase I subunit rpa49FUNC_PR10886	0	0	0	0	0	0	0	0	0	1	0	0
DNA-directed RNA polymerase I subunit RPA49FUNC_PR10887	7	0	0	2	2	0	1	6	1	9	0	0
DNA-directed RNA polymerase I, partialFUNC_PR10888	2	0	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase IIFUNC_PR10889	0	0	0	0	1	0	0	0	0	0	0	0
DNA-directed RNA polymerase II 138 kDa polypeptideFUNC_PR10890	0	2	0	2	1	0	0	1	0	0	0	0
DNA-directed RNA polymerase II core subunit RPB2FUNC_PR10891	8	6	0	16	66	27	1	5	17	35	23	0
DNA-directed RNA polymerase II core subunit RPB3FUNC_PR10892	0	0	0	0	2	0	2	4	0	1	0	0
DNA-directed RNA polymerase II core subunit RPO21FUNC_PR10893	39	41	0	40	151	14	16	19	25	85	76	0
DNA-directed RNA polymerase II largest subunitFUNC_PR10894	0	0	0	0	0	0	0	0	0	1	0	0
DNA-directed RNA polymerase II subunitFUNC_PR10895	0	0	0	3	0	0	0	0	0	1	0	0
DNA-directed RNA polymerase II subunit 1FUNC_PR10896	0	0	0	0	0	2	0	0	0	0	0	0
DNA-directed RNA polymerase II subunit 1-likeFUNC_PR10897	0	1	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase II subunit 1-like, partialFUNC_PR10898	2	0	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase II subunit rpb1FUNC_PR10899	0	0	0	0	0	1	0	0	0	0	0	0
DNA-directed RNA polymerase II subunit RPB1FUNC_PR10900	1	0	0	0	3	8	0	1	0	1	0	0
DNA-directed RNA polymerase II subunit RPB1-likeFUNC_PR10901	2	0	0	0	0	0	0	0	0	2	0	0
DNA-directed RNA polymerase ii subunit rpb2FUNC_PR10902	3	0	0	0	0	0	0	0	0	3	0	0
DNA-directed RNA polymerase II subunit RPB2FUNC_PR10903	1	0	0	0	3	0	0	2	0	1	0	0
DNA-directed RNA polymerase II subunit RPB3FUNC_PR10904	2	0	0	0	0	0	0	0	0	2	0	0
DNA-directed RNA polymerase II subunit rpb4FUNC_PR10905	0	0	0	0	0	0	0	2	0	0	0	0
DNA-directed RNA polymerase II subunit RPB4FUNC_PR10906	0	0	0	0	1	3	2	2	1	3	0	0
DNA-directed RNA polymerase II subunit RPB7FUNC_PR10907	0	0	0	0	0	0	0	0	1	0	0	0
DNA-directed RNA polymerase II subunit RPB7, partialFUNC_PR10908	1	0	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase II subunit RPB9FUNC_PR10909	4	0	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase III core subunit RET1FUNC_PR10910	2	0	0	3	13	0	2	2	2	13	8	0
DNA-directed RNA polymerase III core subunit RPO31FUNC_PR10911	5	0	0	9	27	0	6	11	8	23	10	0
DNA-directed RNA polymerase III largest subunitFUNC_PR10912	0	0	0	1	3	0	2	0	0	1	0	0
DNA-directed RNA polymerase III subunitFUNC_PR10913	0	0	0	0	0	0	1	0	0	0	0	0
DNA-directed RNA polymerase III subunit 2FUNC_PR10914	1	0	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase III subunit 2-likeFUNC_PR10915	0	0	0	0	0	0	2	0	0	0	0	0
DNA-directed RNA polymerase III subunit C31FUNC_PR10916	1	0	0	1	1	0	3	1	0	5	4	0
DNA-directed RNA polymerase III subunit C34FUNC_PR10917	2	0	0	1	11	0	2	0	2	22	5	0
DNA-directed RNA polymerase III subunit C37FUNC_PR10918	3	3	0	12	14	2	2	15	12	29	17	0
DNA-directed RNA polymerase III subunit C53FUNC_PR10919	4	1	0	6	21	0	1	8	5	13	10	0
DNA-directed RNA polymerase III subunit C82FUNC_PR10920	1	2	0	21	26	3	7	21	17	36	34	0
DNA-directed RNA polymerase III subunit RPC1FUNC_PR10921	1	0	0	0	2	0	0	0	0	0	0	0
DNA-directed RNA polymerase III subunit RPC1-likeFUNC_PR10922	0	0	0	1	0	0	0	0	0	1	0	0
DNA-directed RNA polymerase III subunit RPC10FUNC_PR10923	0	0	0	0	0	1	0	0	0	0	0	0
DNA-directed RNA polymerase III subunit RPC17FUNC_PR10924	0	0	0	0	1	0	0	0	0	2	0	0
DNA-directed RNA polymerase III subunit RPC2FUNC_PR10925	1	0	0	0	1	10	2	1	0	0	0	0
DNA-directed RNA polymerase III subunit RPC25FUNC_PR10926	0	0	0	0	2	0	0	0	0	7	1	0
DNA-directed RNA polymerase III subunit RPC3FUNC_PR10927	0	0	0	0	0	1	0	0	0	0	0	2
DNA-directed RNA polymerase III subunit rpc3-likeFUNC_PR10928	0	0	0	0	1	0	0	0	0	0	1	0
DNA-directed RNA polymerase III subunit RPC4FUNC_PR10929	3	0	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase III subunit RPC5FUNC_PR10930	5	0	0	0	0	1	0	0	0	0	0	0
DNA-directed RNA polymerase III subunit RPC5 isoform X1FUNC_PR10931	1	1	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase III subunit RPC5 isoform X4FUNC_PR10932	0	3	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase III subunit RPC5-likeFUNC_PR10933	0	0	0	0	0	0	0	1	0	0	0	0
DNA-directed RNA polymerase III subunit RPC6FUNC_PR10934	0	0	0	0	1	0	0	0	0	0	0	0
DNA-directed RNA polymerase III subunit RPC7-likeFUNC_PR10935	0	0	0	0	1	0	0	0	0	0	0	0
DNA-directed RNA polymerase III subunit RPC8FUNC_PR10936	0	0	0	0	1	0	0	0	0	0	0	0
DNA-directed RNA polymerase III, beta subunit, putativeFUNC_PR10937	0	0	0	0	1	0	0	0	0	0	0	0
DNA-directed RNA polymerase sigma subunit (RpoD)FUNC_PR10938	0	0	0	0	0	0	0	0	0	1	0	0
DNA-directed RNA polymerase sigma-70 factorFUNC_PR10939	2	3	0	1	5	11	0	0	0	10	2	1
DNA-directed RNA polymerase sigma-70 factor, partialFUNC_PR10940	0	0	0	0	3	0	0	0	1	2	0	1
DNA-directed RNA polymerase subunit A'FUNC_PR10941	2	26	1	0	3	1	0	0	0	1	0	2
DNA-directed RNA polymerase subunit A', partialFUNC_PR10942	1	0	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase subunit A''FUNC_PR10943	1	5	0	0	1	2	0	0	0	0	0	4
DNA-directed RNA polymerase subunit alphaFUNC_PR10944	41	24	0	11	24	133	9	13	10	175	4	8
DNA-directed RNA polymerase subunit alpha, partialFUNC_PR10945	10	4	1	1	2	11	1	3	0	16	0	0
DNA-directed RNA polymerase subunit BFUNC_PR10946	0	5	0	0	0	7	1	0	0	0	0	0
DNA-directed RNA polymerase subunit B''FUNC_PR10947	0	0	0	0	3	0	0	0	0	0	0	0
DNA-directed RNA polymerase subunit B'', partialFUNC_PR10948	0	6	0	0	2	0	0	0	0	0	0	0
DNA-directed RNA polymerase subunit betaFUNC_PR10949	95	147	5	11	52	418	4	17	10	161	3	55
DNA-directed RNA polymerase subunit beta-likeFUNC_PR10950	0	3	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase subunit beta, partialFUNC_PR10951	39	49	2	6	36	116	8	13	1	108	4	8
DNA-directed RNA polymerase subunit beta'FUNC_PR10952	99	148	4	10	54	492	4	16	6	126	8	46
DNA-directed RNA polymerase subunit beta'-likeFUNC_PR10953	1	1	0	0	0	0	0	0	0	0	0	0
DNA-directed RNA polymerase subunit beta', partialFUNC_PR10954	72	35	3	10	51	286	6	11	5	130	4	47
DNA-directed RNA polymerase subunit beta/beta'FUNC_PR10955	0	0	0	0	0	2	0	0	0	0	0	0
