	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
12-oxophytodienoate reductaseFUNC_PR121	0	0	0	1	0	1	0	0	0	2	0	0
12-oxophytodienoate reductase 3FUNC_PR122	1	0	0	0	0	0	0	0	0	0	0	0
13 kDa ribonucleoprotein-associated proteinFUNC_PR123	0	1	0	3	0	0	0	0	0	1	0	0
14 kDa subunit of cytochrome bd ubiquinol oxidaseFUNC_PR124	1	0	0	1	0	1	1	0	0	0	0	1
14 kDa zinc-binding proteinFUNC_PR125	14	0	0	0	0	0	0	0	0	0	1	0
14-3-3 family protein BMH1FUNC_PR126	65	38	0	259	350	157	15	117	106	649	347	31
14-3-3 family protein BMH2FUNC_PR127	12	0	0	23	13	1	2	11	13	43	19	0
14-3-3 family protein epsilonFUNC_PR128	0	0	0	0	0	0	0	0	0	1	0	0
14-3-3 proteinFUNC_PR129	5	1	0	0	3	0	4	10	0	4	6	0
14-3-3 protein 9-likeFUNC_PR130	0	0	0	0	0	0	1	1	0	0	0	0
14-3-3 protein epsilonFUNC_PR131	1	1	0	1	1	0	0	2	0	0	0	0
14-3-3 protein homologFUNC_PR132	0	0	0	1	1	1	0	1	1	1	0	0
14-3-3 protein zetaFUNC_PR133	0	2	0	0	0	0	0	0	0	0	0	0
14-3-3 protein zeta-likeFUNC_PR134	0	0	0	0	0	3	0	0	0	0	0	0
14-3-3-like proteinFUNC_PR135	3	0	0	0	0	1	1	0	0	0	0	0
14-3-3-like protein CFUNC_PR136	0	0	0	0	0	0	0	0	0	0	1	0
14-3-3-like protein DFUNC_PR137	2	0	0	0	0	0	0	1	0	0	0	0
14-3-3-like protein GF14 iotaFUNC_PR138	9	0	0	0	0	0	0	0	0	0	0	0
14-3-3-like protein GF14 kappaFUNC_PR139	3	0	0	0	0	0	1	1	0	0	1	0
14-3-3-like protein isoform X2FUNC_PR140	1	0	0	0	0	0	0	0	0	0	0	0
14-3-3-like protein, partialFUNC_PR141	0	0	0	0	0	0	0	0	0	0	2	0
14-alpha sterol demethylaseFUNC_PR142	1	0	0	0	0	0	0	0	0	2	0	0
14-alpha sterol demethylase cyp51bFUNC_PR143	1	0	0	0	0	0	0	0	0	0	0	0
14-alpha sterol demethylase Cyp51BFUNC_PR144	0	0	0	0	1	1	0	3	0	0	0	0
15-cis-phytoene desaturaseFUNC_PR145	0	0	0	0	0	0	0	0	0	0	0	1
15-cis-phytoene desaturase, chloroplastic/chromoplastic-likeFUNC_PR146	0	1	0	0	0	0	0	0	0	0	0	0
15-cis-zeta-carotene isomerase, chloroplastic-likeFUNC_PR147	1	0	0	0	0	0	0	0	0	0	0	0
15-hydroxyprostaglandin dehydrogenase, putativeFUNC_PR148	0	0	0	0	0	0	0	0	0	1	0	0
16S ribosomal RNA methyltransferase AFUNC_PR149	6	6	0	0	0	0	0	0	0	0	0	7
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferaseFUNC_PR150	23	35	0	0	19	57	1	1	0	22	2	12
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmAFUNC_PR151	0	0	0	0	0	1	0	0	0	0	0	0
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase, partialFUNC_PR152	2	6	0	0	1	0	0	0	0	0	0	0
16S rRNA (cytidine(1402)-2'-O)-methyltransferaseFUNC_PR153	31	41	0	3	23	62	1	1	1	28	1	4
16S rRNA (cytosine(1402)-N(4))-methyltransferaseFUNC_PR154	47	31	2	0	14	75	2	1	1	56	0	5
16S rRNA (cytosine(1402)-N(4))-methyltransferase, partialFUNC_PR155	7	0	0	0	0	0	0	0	0	4	0	0
16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmFFUNC_PR156	0	0	0	0	0	11	0	0	0	0	0	0
16S rRNA (cytosine(967)-C(5))-methyltransferaseFUNC_PR157	10	10	0	0	6	32	0	1	0	13	1	7
16S rRNA (cytosine(967)-C(5))-methyltransferase, partialFUNC_PR158	1	0	0	0	0	1	0	0	0	2	0	0
16S rRNA (guanine(1207)-N(2))-methyltransferaseFUNC_PR159	0	0	0	0	0	0	0	0	0	1	0	0
16S rRNA (guanine(527)-N(7))-methyltransferaseFUNC_PR160	0	0	0	0	1	7	0	0	0	0	0	1
16S rRNA (guanine(527)-N(7))-methyltransferase RsmGFUNC_PR161	3	8	0	2	1	52	0	4	0	6	0	15
16S rRNA (guanine(527)-N(7))-methyltransferase RsmG, partialFUNC_PR162	2	1	0	0	2	3	0	0	0	9	1	0
16S rRNA (guanine(966)-N(2))-methyltransferaseFUNC_PR163	4	0	0	0	0	0	0	0	0	0	0	0
16S rRNA (guanine(966)-N(2))-methyltransferase RsmDFUNC_PR164	1	0	0	0	1	16	1	0	0	4	0	1
16S rRNA (guanine(966)-N(2))-methyltransferase RsmD, partialFUNC_PR165	0	0	0	0	0	0	0	0	0	2	0	0
16S rRNA (uracil(1498)-N(3))-methyltransferaseFUNC_PR166	21	18	1	3	10	50	0	1	0	13	1	2
16S rRNA maturation RNase YbeYFUNC_PR167	1	0	0	0	0	18	0	0	0	4	0	0
16S rRNA methyltransferaseFUNC_PR168	1	9	1	1	0	27	0	0	0	9	0	4
16S rRNA methyltransferase, partialFUNC_PR169	1	0	0	0	0	0	0	0	0	1	0	0
16S rRNA processing protein RimMFUNC_PR170	3	1	0	0	0	17	0	0	0	2	0	9
16S rRNA processing protein RimM, partialFUNC_PR171	0	0	0	0	0	0	0	0	0	2	0	0
16S rRNA pseudouridine(516) synthaseFUNC_PR172	8	0	0	1	1	17	0	0	1	9	2	2
16S rRNA pseudouridine(516) synthase, partialFUNC_PR173	3	0	0	0	0	0	0	0	0	0	0	0
17-beta-hydroxysteroid dehydrogenase-like proteinFUNC_PR174	0	1	0	10	29	2	3	11	11	36	10	0
17.1 kDa class II heat shock protein-likeFUNC_PR175	9	5	0	0	0	0	0	0	0	0	0	0
17.3 kDa class II heat shock protein-likeFUNC_PR176	11	1	0	0	0	0	0	0	0	0	0	0
17beta-estradiol 17-dehydrogenaseFUNC_PR177	0	0	0	0	1	0	0	0	0	0	0	0
18.1 kDa class I heat shock protein-likeFUNC_PR178	0	0	0	0	1	0	0	0	0	0	0	0
18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferaseFUNC_PR179	0	3	0	0	0	1	0	0	0	0	0	0
18S rRNA (guanine1575-N7)-methyltransferaseFUNC_PR180	0	0	0	3	9	7	7	30	10	34	22	0
18S rRNA biogenesis proteinFUNC_PR181	1	0	0	0	0	11	0	0	0	1	0	0
1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylaseFUNC_PR182	0	0	0	0	0	1	0	0	0	0	0	0
2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomeraseFUNC_PR183	2	4	0	0	2	1	0	0	0	1	0	0
2-(3-amino-3-carboxypropyl)histidine synthaseFUNC_PR184	18	4	0	35	97	17	3	19	17	72	81	0
2-(3-amino-3-carboxypropyl)histidine synthase subunit 1FUNC_PR185	2	4	0	0	0	0	0	0	0	0	0	0
2-(3-amino-3-carboxypropyl)histidine synthase subunit 2FUNC_PR186	0	0	0	0	0	0	0	0	0	1	0	0
2-acyl-glycerophospho-ethanolamine acyltransferaseFUNC_PR187	0	6	0	0	0	0	0	0	0	0	0	0
2-acylglycerol O-acyltransferase 2FUNC_PR188	7	0	0	0	0	4	0	0	0	0	0	0
2-alkenal reductaseFUNC_PR189	1	12	3	1	2	28	0	0	0	3	1	7
2-alkenal reductase (NADP(+)-dependent)FUNC_PR190	4	0	0	0	0	0	0	0	0	0	0	0
2-amino-3-ketobutyrate CoA ligaseFUNC_PR191	0	0	0	0	0	3	0	0	0	0	0	0
2-amino-3-ketobutyrate coenzyme A ligaseFUNC_PR192	0	0	0	0	0	0	0	0	0	1	0	0
2-amino-3-ketobutyrate coenzyme A ligase, variantFUNC_PR193	0	0	0	0	0	0	0	0	0	2	0	0
2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthaseFUNC_PR194	0	0	0	0	2	0	0	0	0	0	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinaseFUNC_PR195	10	17	0	0	4	27	1	1	0	17	1	22
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase, partialFUNC_PR196	4	0	0	2	0	0	0	0	0	1	0	0
